policy,seed,mode,min_speed,avg_speed,throughput,total_payment,stageII_benefit,task_completion_rate,avg_latency,max_latency,p95_latency,resource_utilization,helper_participation_rate,cluster_reconfiguration_count,min_target_speed,avg_target_speed,avg_speed_gain,total_cost,social_welfare,unit_speed_gain_cost,stageII_cost,helper_load_jain_index,traffic_flow_proxy,baseline_feasibility,stage2_activation,offloading_ratio,runtime_per_slot
ours,7,highd,17.9701012086099,23.621299482827713,24.0,0.6138362647340253,0.0,1.0,0.041128126651721775,0.07952882133520982,0.07455729677963645,0.004880562294281897,0.0,6.0,20.0,24.0080726120425,0.38677312921478696,0.6138362647340253,-0.6138362647340253,0.06614186333484018,0.0,0.13487233017264919,566.9111875878651,1.0,0.0,0.9999999999999997,1.7988868666773972
stage-i-only,7,highd,17.9701012086099,23.621299482827713,24.0,0.6138362647340253,0.0,1.0,0.041128126651721775,0.07952882133520982,0.07455729677963645,0.004880562294281897,0.0,6.0,20.0,24.0080726120425,0.38677312921478696,0.6138362647340253,-0.6138362647340253,0.06614186333484018,0.0,0.13487233017264919,566.9111875878651,1.0,0.0,0.9999999999999997,0.2488897000051414
